pixel_index channel old_value new_value difference
5439 0 0 96 96
5441 0 0 63 63
5445 0 0 60 60
5449 0 0 124 124
5451 0 0 104 104
5453 0 0 141 141
5455 0 0 146 146
5457 0 0 127 127
5458 0 0 55 55
5461 0 0 101 101
5465 0 0 96 96
5469 0 0 85 85
5473 0 0 77 77
5477 0 0 73 73
5481 0 0 92 92
5485 0 0 97 97
5489 0 0 101 101
5493 0 0 106 106
5497 0 0 97 97
5501 0 0 100 100
5505 0 0 94 94
5509 0 0 117 117
5513 0 0 117 117
5517 0 0 122 122
5726 0 255 22 233
5758 0 255 21 234
6010 0 0 58 58
6074 0 0 63 63
6250 0 0 33 33
6584 0 0 35 35
6600 0 255 33 222
6708 0 255 27 228
6912 0 255 47 208
7008 0 0 24 24
7144 0 0 16 16
7260 0 0 57 57
7518 0 0 40 40
7861 0 0 79 79
7865 0 0 93 93
7869 0 0 115 115
7873 0 0 119 119
7877 0 0 109 109
7881 0 0 109 109
7885 0 0 137 137
7889 0 0 116 116
7893 0 0 104 104
7897 0 0 86 86
7901 0 0 91 91
7905 0 0 117 117
7909 0 0 89 89
7913 0 0 83 83
7917 0 0 93 93
7921 0 0 80 80
7925 0 0 72 72
7929 0 0 65 65
7933 0 0 67 67
7937 0 0 72 72
7941 0 0 62 62
7945 0 0 78 78
7946 0 0 56 56
7949 0 0 95 95
7951 0 0 96 96
7953 0 0 68 68
7957 0 0 65 65
7961 0 0 104 104
7963 0 0 104 104
7965 0 0 95 95
7967 0 0 100 100
7969 0 0 98 98
7971 0 0 127 127
7973 0 0 135 135
7975 0 0 133 133
7977 0 0 124 124
7979 0 0 98 98
7981 0 0 104 104
7983 0 0 102 102
7985 0 0 93 93
7987 0 0 90 90
7989 0 0 95 95
7991 0 0 95 95
7993 0 0 88 88
7995 0 0 97 97
7997 0 0 91 91
7999 0 0 83 83
8001 0 0 89 89
8003 0 0 95 95
8005 0 0 100 100
8007 0 0 120 120
8009 0 0 112 112
8011 0 0 89 89
8013 0 0 85 85
8015 0 0 91 91
8017 0 0 90 90
8019 0 0 88 88
8021 0 0 93 93
